year,city,country,avg_temp
1758,Kansas City,United States,13.72
1759,Kansas City,United States,11.33
1760,Kansas City,United States,-5.40
1761,Kansas City,United States,
1762,Kansas City,United States,
1763,Kansas City,United States,
1764,Kansas City,United States,
1765,Kansas City,United States,
1766,Kansas City,United States,
1767,Kansas City,United States,
1768,Kansas City,United States,10.57
1769,Kansas City,United States,10.92
1770,Kansas City,United States,11.42
1771,Kansas City,United States,12.04
1772,Kansas City,United States,
1773,Kansas City,United States,13.10
1774,Kansas City,United States,4.69
1775,Kansas City,United States,12.72
1776,Kansas City,United States,11.26
1777,Kansas City,United States,11.49
1778,Kansas City,United States,8.28
1779,Kansas City,United States,1.11
1780,Kansas City,United States,
1781,Kansas City,United States,11.83
1782,Kansas City,United States,11.41
1783,Kansas City,United States,11.21
1784,Kansas City,United States,11.32
1785,Kansas City,United States,11.00
1786,Kansas City,United States,11.57
1787,Kansas City,United States,11.62
1788,Kansas City,United States,11.99
1789,Kansas City,United States,11.78
1790,Kansas City,United States,11.65
1791,Kansas City,United States,11.94
1792,Kansas City,United States,11.49
1793,Kansas City,United States,11.82
1794,Kansas City,United States,11.99
1795,Kansas City,United States,4.18
1796,Kansas City,United States,11.75
1797,Kansas City,United States,11.57
1798,Kansas City,United States,12.21
1799,Kansas City,United States,11.98
1800,Kansas City,United States,11.85
1801,Kansas City,United States,12.17
1802,Kansas City,United States,12.32
1803,Kansas City,United States,12.14
1804,Kansas City,United States,12.21
1805,Kansas City,United States,12.20
1806,Kansas City,United States,11.90
1807,Kansas City,United States,11.68
1808,Kansas City,United States,11.45
1809,Kansas City,United States,10.61
1810,Kansas City,United States,10.65
1811,Kansas City,United States,10.83
1812,Kansas City,United States,10.19
1813,Kansas City,United States,11.39
1814,Kansas City,United States,11.24
1815,Kansas City,United States,10.66
1816,Kansas City,United States,10.09
1817,Kansas City,United States,10.39
1818,Kansas City,United States,11.33
1819,Kansas City,United States,10.80
1820,Kansas City,United States,10.58
1821,Kansas City,United States,10.93
1822,Kansas City,United States,11.61
1823,Kansas City,United States,11.20
1824,Kansas City,United States,11.39
1825,Kansas City,United States,12.52
1826,Kansas City,United States,11.69
1827,Kansas City,United States,12.40
1828,Kansas City,United States,12.36
1829,Kansas City,United States,11.80
1830,Kansas City,United States,12.88
1831,Kansas City,United States,10.68
1832,Kansas City,United States,11.95
1833,Kansas City,United States,12.49
1834,Kansas City,United States,12.67
1835,Kansas City,United States,10.86
1836,Kansas City,United States,10.11
1837,Kansas City,United States,11.22
1838,Kansas City,United States,10.50
1839,Kansas City,United States,12.00
1840,Kansas City,United States,11.41
1841,Kansas City,United States,11.27
1842,Kansas City,United States,11.98
1843,Kansas City,United States,10.46
1844,Kansas City,United States,11.63
1845,Kansas City,United States,12.17
1846,Kansas City,United States,12.55
1847,Kansas City,United States,10.43
1848,Kansas City,United States,11.00
1849,Kansas City,United States,10.91
1850,Kansas City,United States,11.28
1851,Kansas City,United States,11.80
1852,Kansas City,United States,11.10
1853,Kansas City,United States,11.38
1854,Kansas City,United States,12.83
1855,Kansas City,United States,11.43
1856,Kansas City,United States,10.23
1857,Kansas City,United States,10.48
1858,Kansas City,United States,11.79
1859,Kansas City,United States,11.34
1860,Kansas City,United States,12.49
1861,Kansas City,United States,11.90
1862,Kansas City,United States,11.37
1863,Kansas City,United States,11.58
1864,Kansas City,United States,11.22
1865,Kansas City,United States,11.59
1866,Kansas City,United States,11.03
1867,Kansas City,United States,10.97
1868,Kansas City,United States,11.00
1869,Kansas City,United States,10.51
1870,Kansas City,United States,12.03
1871,Kansas City,United States,11.96
1872,Kansas City,United States,10.39
1873,Kansas City,United States,10.54
1874,Kansas City,United States,11.81
1875,Kansas City,United States,9.91
1876,Kansas City,United States,11.12
1877,Kansas City,United States,11.90
1878,Kansas City,United States,12.78
1879,Kansas City,United States,12.04
1880,Kansas City,United States,11.83
1881,Kansas City,United States,11.87
1882,Kansas City,United States,12.22
1883,Kansas City,United States,10.55
1884,Kansas City,United States,10.75
